creator_username,creator_id,creator_followers,creator_verified,creator_bio,creator_type,creator_gender,country_origin,is_ai_generated,video_id,video_url,posting_date,duration_seconds,hashtag,caption,language,likes,views,shares,comments,engagement_rate,is_acne_relevant,before_after,video_intent,location_of_shoot,misinformation_label,claim_type,claim_accuracy,treatment_origin,cultural_claim,western_accepted,label_confidence,notes,transcript,product_name,product_brand,product_category,product_shown,ingredient_named,clinical_validity,start_acne_score,end_acne_score,delta_improvement,subject_gender_visual,single_multiple_people,indoor_outdoor
dermguru,6814497530991150085,1700000,TRUE,"Derm👩‍⚕️
📧 zubritskylm@gmail.com
❌No med advice
NEW PODCAST: Listen now👇🏻",dermatologist,unknown,Unknown,no,7583741338911313183,https://www.tiktok.com/@dermguru/video/7583741338911313183,2025-12-14T15:50:11.000Z,74,"acne, congestedskin, acnetok","Closed comedones are a form of acne that can be stubborn or persistent. But with the right products, texture and congestion can significantly improve! Stitch with @crystal #acne #congestedskin #acnetok",English,1975,84400,94,23,2.34,yes,no,education,unknown,na,none,na,Unknown,no,unknown,high,,,,,,,,,,,,,,
philsmypharmacist,6974083283051365382,2100000,TRUE,Empowering you to take control of your health- Check out @philsmypharmacistfinds,influencer,unknown,Unknown,no,7208411005003615534,https://www.tiktok.com/@philsmypharmacist/video/7208411005003615534,2023-03-09T05:16:42.000Z,87,"teenacne, philsmypharmacist, otchacks, skincarehacks, acne, skincare, beauty, edutok, education, learning, learningisfun, savemoney, acnetips","Want to save $$$ and a trip to the doctor? Here’s my hack for hormonal/teen acne. 

☀️ In the morning have your teen wash their face with the CeraVe Foaming Cleanser. Scrub it on leave it on for 5 minutes and then wash it off.
🌙 At night Take a 10 mg soft gel of melatonin and pop it squeeze it out and mix it with a small amount of Differin gel.

#teenacne #philsmypharmacist #otchacks #skincarehacks #acne #skincare #beauty #edutok #education #learning #learningisfun #savemoney #acnetips ",English,50400,834300,9463,521,6.04,yes,no,education,unknown,accurate,clinically_accurate,supported,Unknown,no,yes,high,,,,,,,,,,,,,,
shannon.bruno,6779301701214077958,72200,FALSE,"wellness simplified for the gals
better on YT 
free 3-day wellness reset👇🏽",influencer,unknown,Unknown,no,6810807365688954118,https://www.tiktok.com/@shannon.bruno/video/6810807365688954118,2020-04-01T18:11:05.000Z,42,"acne, acnetips, acnetreatment, hydrocolloid, diy, diyskincare, beautyhacks, beautytips, skincare, fyp",share with your friends n fam! ❤️ #acne #acnetips #acnetreatment #hydrocolloid #diy #diyskincare #beautyhacks #beautytips #skincare #fyp,English,177300,1400000,18700,331,12.66,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
mattrandon,6754664095708808197,1300000,FALSE,"🧼Skincare, Haircare and Beauty
💌matteorandonlnd@gmail.com
🪐1.4M+ on IG and 1.6M+ on YT",influencer,unknown,Unknown,no,7607157449405025558,https://www.tiktok.com/@mattrandon/video/7607157449405025558,2026-02-15T18:16:09.000Z,30,"pimplepatch, acneproneskin, acnetips, acneprone, skincarehacks","VIRAL PIMPLE PATCH HACK!😱

#pimplepatch #acneproneskin #acnetips #acneprone #skincarehacks ",English,3556,66800,93,17,5.32,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
dr.zionko,6747126138488194053,835000,TRUE,"doctor, not dancer 
Skin • Gut • Hormones
Korean roots 🇰🇷 + MD brain 🧠",dermatologist,unknown,Unknown,no,7329944570102287658,https://www.tiktok.com/@dr.zionko/video/7329944570102287658,2024-01-30T17:29:22.000Z,42,"cyst, acne, skincaretips, beautyhacks, sulfur, hyperpigmentation, hormonalacne, pcos","she comes and visits me every month. LIKE CLOCKWORK. When it comes to cystic inflammatory acne  -- it's important to care for it diligently since it has one of the highest risk for PIH (post inflammatory hyperpigmentation) and scarring. LOW threshold to see your doc and start prescription topical/PO meds. Whatever you do, do NOT pop these. #cyst #acne #skincaretips #beautyhacks #sulfur #hyperpigmentation #hormonalacne #pcos ",English,53800,3500000,1075,334,1.54,yes,no,education,unknown,accurate,clinically_accurate,supported,Unknown,no,yes,high,,,,,,,,,,,,,,
drcharlesmd1,6816806931648742405,1800000,TRUE,"🧪Dermatologist + Biohacker
👨🏻‍⚕️MD
🎓Harvard+Duke
This is NOT medical advice",dermatologist,unknown,Unknown,no,7362220936671694126,https://www.tiktok.com/@drcharlesmd1/video/7362220936671694126,2024-04-26T16:57:43.000Z,25,,Weird derm✨hack✨for back and body acne … ,English,5768,273100,812,121,2.11,yes,no,education,unknown,na,none,na,Unknown,no,unknown,low,,,,,,,,,,,,,,
drspf,6833996485622449157,1300000,TRUE,"Harvard-Trained Dermatologist 🩺 Top Doc 🏆 808 born🤙 Founder, Sugai Academy 🎥",dermatologist,unknown,Unknown,no,7586410305895271710,https://www.tiktok.com/@drspf/video/7586410305895271710,2025-12-21T20:26:51.000Z,68,"intralesionalkenalog, steroidshot, cysticacne, drsugaiskincare, acne","POV: You have a painful cystic pimple before an event. Don’t pop it! 
➡️ IL Kenalog ➡️ Inflammation down
➡️ Relief fast 💪 #intralesionalkenalog #steroidshot #cysticacne #drsugaiskincare #acne ",English,2817,337700,45,61,0.83,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
philsmypharmacist,6974083283051365382,2100000,TRUE,Empowering you to take control of your health- Check out @philsmypharmacistfinds,influencer,unknown,Unknown,no,7341200689311337758,https://www.tiktok.com/@philsmypharmacist/video/7341200689311337758,2024-03-01T01:28:14.000Z,89,"painfulacne, acne, pharmacist, pharmacyhelp, otchacks, skincare, acneprobs, philsmypharmacist, pmdpartner","Dealing with red, itchy, painful acne? Here's a classic pharmacist recipe with a modern twist that's guaranteed to provide relief!

#painfulacne #acne #pharmacist #pharmacyhelp #otchacks #skincare #acneprobs #philsmypharmacist #pmdpartner ",English,1037,56600,104,22,1.83,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,high,,,,,,,,,,,,,,
dermdoctor,6765585846651094022,17700000,TRUE,"Board Certified Derm 
Founder of @Remedy Science
Shop Biodance ⬇️",dermatologist,unknown,Unknown,no,6959013176159522054,https://www.tiktok.com/@dermdoctor/video/6959013176159522054,2021-05-06T03:25:23.000Z,14,"acne, pimples, acnetreatment, dermdoctor, skincare, learnontiktok, tiktokpartner",Worst Acne Hacks #acne #pimples #acnetreatment #dermdoctor #skincare #learnontiktok #tiktokpartner,English,173900,4000000,1591,974,4.35,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
dermdoctor,6765585846651094022,17700000,TRUE,"Board Certified Derm 
Founder of @Remedy Science
Shop Biodance ⬇️",dermatologist,unknown,Unknown,no,6996072448538053893,https://www.tiktok.com/@dermdoctor/video/6996072448538053893,2021-08-14T00:14:13.000Z,24,"dermdoctor, dermatologist, blisspartner, skincare, bacne, skincarehacks, backacne, pepsiapplepiechallenge",Body Acne Hack!! @bliss #dermdoctor #dermatologist #blisspartner #skincare #bacne #skincarehacks #backacne #PepsiApplePieChallenge,English,280600,4400000,11700,834,6.38,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
skinbydrazi,6694796203819975686,1900000,TRUE,"👩🏻‍⚕️M.D/ Dermatologist / Educator 
CEO Of Lasers
🚫 No Med Advice 🚫",dermatologist,unknown,Unknown,no,6887738516462161158,https://www.tiktok.com/@skinbydrazi/video/6887738516462161158,2020-10-26T01:43:45.000Z,15,"acneremedy, acne, beautyhackes",Reply to @mahaignas what to use on a Deep Red Pimple if you can’t get a Pimple Shot👩🏻‍⚕️ #acneremedy #acne #beautyhackes,English,56500,2600000,2380,336,2.17,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
dr.zionko,6747126138488194053,835000,TRUE,"doctor, not dancer 
Skin • Gut • Hormones
Korean roots 🇰🇷 + MD brain 🧠",dermatologist,unknown,Unknown,no,7325144841250409774,https://www.tiktok.com/@dr.zionko/video/7325144841250409774,2024-01-17T19:03:54.000Z,70,"cysticacne, hormonalacne, skintok, pimpletok, skinadvice, dermatologytips, acneproneskin",thank you for sharing your cystic acne journey with us @nora #cysticacne #hormonalacne #skintok #pimpletok #skinadvice #dermatologytips #acneproneskin  ,English,20200,1600000,911,185,1.26,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
drvanitarattan,6735157991278806022,1500000,TRUE,Doctor & Cosmetic Formulator for SKIN OF COLOUR👩🏽‍⚕️,influencer,unknown,Unknown,no,7454260752724086049,https://www.tiktok.com/@drvanitarattan/video/7454260752724086049,2024-12-30T17:38:56.000Z,87,"skincare, skinofcolour, acne, acnescartreatment, doctor","Cystic acne is one of the most painful things to treat and for skin of colour I recommend you see a dermatologist to minimise chances of scarring. 

This is why our kids of colour need to understand their skin and have healthy routines to minimise excess sebum production.  

Our Trio Blemish 4-piece system helps with early/ mild Acne
1. Face wash- salicylic acid, Niacinamide, anti inflammatories, humectants 
2. Exfoliator- 2% salicylic acid, green tea extract, anti inflammatories
3. AM gel- Vit C, anti bacterial gel mousturiser
4. PM gel- tyrosinase inhibitors and azelic to red and brown marks

Love Dr V 
#skincare #skinofcolour #acne #acnescartreatment #doctor ",English,1300000,23700000,24600,3468,5.49,yes,no,education,unknown,accurate,clinically_accurate,supported,Western_clinical,no,yes,high,,,,,,,,,,,,,,
dr_ingky,6660401966882062338,915900,FALSE,"Founder of The Drinkable Skincare Company @ventamin_official 
Your Online Skin Doctor",dermatologist,unknown,Unknown,no,7624470426382503184,https://www.tiktok.com/@dr_ingky/video/7624470426382503184,2026-04-03T10:00:01.000Z,58,,"Cystic acne is deep, painful, and doesn’t go away easily .
What helps:
• Benzoyl peroxide cleanser – reduces bacteria
• Adapalene (retinoid) – controls oil and inflammation
• Oral treatment – for severe or persistent acne
How to use:
Use benzoyl peroxide cleanser (leave 1–2 min, then rinse) .
Apply adapalene at night (start 2–3x/week) .
For severe cases, see a doctor for oral treatment .
Treat early to prevent scarring.
What acne concern do you struggle with most?",English,4800,238100,300,55,2.02,yes,no,product_promotion,unknown,accurate,clinically_accurate,supported,Western_clinical,no,yes,high,,,,,,,,,,,,,,
drjennyliu,6734027145938666498,444700,TRUE,"Dermatologist, FAAD
Red Note 小红书： DermTalk ⬇️
IG: @derm.talk
YT: Dr Jenny Liu",dermatologist,unknown,Unknown,no,7619111199006854413,https://www.tiktok.com/@drjennyliu/video/7619111199006854413,2026-03-20T13:05:00.000Z,51,"cyst, acne, acnetreatment, dermatologist, acnetok",#cyst #acne #acnetreatment #dermatologist #acnetok ,English,2121,345700,40,16,0.61,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
thesecondthoughtofficial,7585865352824587277,19700,FALSE,"Bringing skincare to life with AI✨
Custom videos for beauty brands
📩 infosecondthought@gmail.com",influencer,unknown,Unknown,no,7614604086347910414,https://www.tiktok.com/@thesecondthoughtofficial/video/7614604086347910414,2026-03-07T19:53:19.000Z,32,"cysticacne, blindpimple, acnetreatment, pimplepatch, salicylicacid","The COMPLETE protocol to safely erase Cystic Acne (Blind Pimples). 💣🆘

Squeezing a deep, cystic blind pimple (one with no whitehead) is the fastest way to cause a permanent ice-pick scar or hyperpigmentation. You need a targeted, multi-step attack to draw it out safely. 🧬

Here is the exact 5-step squad to fix it in order:

🔥 STEP 1 (WARM COMPRESS): Softens the hard tissue and draws the deep infection closer to the surface barrier.

💎 STEP 2 (MICRO-DARTS): The delivery system. Tiny, dissolvable darts create painless microscopic channels past the tough epidermis.

💚 STEP 3 (SALICYLIC ACID): The neutralizer. Travels down the new channels to dissolve the oil and fight the infection at the core.

🧽 STEP 4 (HYDROCOLLOID): The extractor. Once the infection is broken down, this patch safely absorbs the fluid to flatten the swelling.

💙 STEP 5 (CENTELLA/CICA): The peacekeeper. Cools down the angry post-blemish redness to prevent dark spots from forming.

📌 SAVE this exact order for your next skincare emergency and FOLLOW for more 3D skin science! 🐼

#cysticacne #blindpimple #acnetreatment #pimplepatch #salicylicacid ",English,48400,1900000,2079,60,2.55,yes,no,product_promotion,unknown,accurate,clinically_accurate,supported,Western_clinical,no,yes,high,,,,,,,,,,,,,,
drabby6,7034339906974729262,539200,FALSE,"Yale MD
Board Certified Dermatologist
Harvard Associate Professor
Views my own",dermatologist,unknown,Unknown,no,7510369731862351134,https://www.tiktok.com/@drabby6/video/7510369731862351134,2025-05-30T22:30:34.000Z,28,"stitch, cysticacne, acne, dermatologist","#stitch with @cheeto🙈 Red, inflamed cystic lesions on the face can be many different things including cystic acne, a cyst, an abscess or even skin cancer. Always get evaluated by a doctor 👍 #cysticacne #acne #dermatologist ",English,855,231100,27,29,0.37,yes,no,education,unknown,na,none,na,Unknown,no,unknown,high,,,,,,,,,,,,,,
neecoleslife,7177611641595544618,11900,FALSE,"🇱🇧 fashion/lifestyle
boston@Let’sGetDressed Boston 
nicolesalibaxoxo@gmail.com",influencer,unknown,US,no,7581562931482021134,https://www.tiktok.com/@neecoleslife/video/7581562931482021134,2025-12-08T18:56:54.000Z,47,"cysticacne, adultacne",this is legit not sponsored i just had to share as someone that has been dealing with this for years and years please try these out @KraveBeauty @Magic Molecule #cysticacne #adultacne ,English,31500,474900,1180,122,6.63,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
glowjournalmamata,7295363942933775362,195500,FALSE,"Join me on my acne journey to clearer skin
💌  mamata@tiptopbranding.com  💌
📍Melbourne🇦🇺
@The Patchly",patient,unknown,Unknown,no,7619232872561446164,https://www.tiktok.com/@glowjournalmamata/video/7619232872561446164,2026-03-20T07:15:03.000Z,86,"acneproneskin, acnejourney, australiaskincare, acnefighter, acneskin","I really thought I was done with acne.
Accutane cleared my skin… and I believed it was over.

Now it’s coming back.

And yeah, it still affects me.
But this time, I’m not panicking.
I’m learning how to handle it differently.

If you feel like you’re back at square one… you’re not alone.

#acneproneskin #acnejourney #australiaskincare #acnefighter #acneskin ",English,3059,110100,175,27,2.78,yes,no,personal_anecdote,unknown,na,none,na,Western_clinical,no,unknown,high,,,,,,,,,,,,,,
alexisdimaya,7084815868937913387,571400,FALSE,"pilot 🛩️🫶🏽  
made in hawai'i
💌 alexis@idolsandicons.co",influencer,unknown,Unknown,no,7261721950739844398,https://www.tiktok.com/@alexisdimaya/video/7261721950739844398,2023-07-30T21:10:07.000Z,164,"greenscreen, acnetreatment, acnejourney, clearskin, makeup, skincare",#greenscreen i have amazing products that have compeltely gotten rid of my dark spots too lmk if you want them ‼️‼️‼️#acnetreatment #acnejourney #clearskin #makeup #skincare ,English,215400,3300000,6394,705,6.53,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
haleykonopka_,6713534738101437446,97000,FALSE,"🤝🏻 your acne-prone big sis sharing real skin 
📍 NJ by day ⇄ NYC by night
💌 haley@zink-talent.com
↓ all my favorites (no gatekeeping)",patient,unknown,US,no,7623592281366351117,https://www.tiktok.com/@haleykonopka_/video/7623592281366351117,2026-04-01T01:11:47.000Z,16,"acnejourney, hormonalacne, realskintexture, acneproneskin",if my skin is glowing all acne becomes invisible to me🤭 #acnejourney #hormonalacne #realskintexture #acneproneskin ,English,3919,27700,40,55,14.15,yes,no,personal_anecdote,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
elizacesle,152922639735439360,686,FALSE,"On my skin healing journey 
Acne & PD",influencer,unknown,Unknown,no,7625330975534337302,https://www.tiktok.com/@elizacesle/video/7625330975534337302,2026-04-05T17:38:45.000Z,8,"acnejourney, comedonalacne, acnebeforeandafters","It has been a long journey. Still healing ❤️ 
#acnejourney #comedonalacne #acnebeforeandafters ",English,13400,135700,123,25,9.87,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
lifewithmils,7215212587512153090,361700,FALSE,"🫧 skincare & beauty
💌 millie@lifewithmils.com",patient,unknown,Unknown,no,7415674523313392912,https://www.tiktok.com/@lifewithmils/video/7415674523313392912,2024-09-17T18:05:30.000Z,14,"acne, acnejourney, mentalhealth, acneproneskin, skintok","your little reminder that it does get better🫂

I thought my skin would never be clear again. But it healed, my body healed, and you will heal, I promise

I truly believe that I was put on this earth to help as many of you as possible on your own journey

you are beautiful now, and you’ll be beautiful tomorrow, regardless of how your skin looks💗

I’m sending you hugs

there are acne healing e-books in my b10 for those of you that need some help with your skin🫶🏼

#acne #acnejourney #mentalhealth #acneproneskin #skintok",English,126400,1100000,1266,265,11.49,yes,no,personal_anecdote,unknown,na,none,na,Unknown,no,unknown,high,,,,,,,,,,,,,,
noracummins_,61067956532559872,333800,FALSE,"your fav acne cyster‼️
living, healing, and finding balance in the chaos🤍

💌 nora@voltari.co | chicago",influencer,unknown,US,no,7607515983305067789,https://www.tiktok.com/@noracummins_/video/7607515983305067789,2026-02-16T17:27:52.000Z,455,"acnejourney, cysticacne, guthealthmatters, holistichealth, healingjourneys","this is a very long video but absolutely worth the watch 🤍

#acnejourney #cysticacne #guthealthmatters #holistichealth #healingjourneys ",English,66800,3900000,2112,761,1.71,yes,no,education,unknown,misinformation,gut_health,unsupported,Unknown,no,no,medium,,,,,,,,,,,,,,
lukekoumakis,6859653382345704453,33800,FALSE,"The Journey to Becoming Better 
Fitness | Lifestyle | Acne | Self-improvement | Transformations 
NZ living in GC
Collabs: lukekoumakis@gmail.com",influencer,unknown,Unknown,no,7451488097516260625,https://www.tiktok.com/@lukekoumakis/video/7451488097516260625,2024-12-23T06:20:20.000Z,28,"fyp, fypシ, acne, transformation, transformationvideo, glowup, accutanejourney","Tiktok dont make this flop, it took too long to make 😂 10 month acne Transformation from 2021, stay motivated if you’re going through bad acne, it’ll improve. #fyp #fypシ #acne #transformation #transformationvideo #glowup #accutanejourney  ",Japanese,102500,3300000,2960,794,3.11,yes,yes,product_promotion,unknown,na,none,na,Western_clinical,no,unknown,high,,,,,,,,,,,,,,
stylishyessy__,6687355153345840133,29900,FALSE,"Vlogs | Fitness | Lifestyle 🤍
Trusting Gods plan 🤲🏻 
💌 yessym19@icloud.com",influencer,unknown,Unknown,no,7533473456994733343,https://www.tiktok.com/@stylishyessy__/video/7533473456994733343,2025-08-01T04:44:57.000Z,126,"acneproneskin, acne, accutanejourney, realitycheck, accutane, acnejourney, yourenotalone, fyp","Embracing your acne or learning to love yourself with acne doesn’t mean you won’t have bad days.
There will be moments where you hate it, where you wish it wasn’t there and that’s okay.
Some days it feels like there’s no light at the end of the tunnel… but those feelings are temporary.
Take your time, feel it, then get back up.
Let’s keep shining our light for ourselves and for others. ✨ 

** PS ignore the stain on my shirt I can not wear white without staining it 🥲** 
#acneproneskin #acne #accutanejourney #realitycheck #accutane #acnejourney #yourenotalone #fyp ",English,75400,1500000,2020,1340,5.03,yes,no,product_promotion,unknown,na,none,na,Western_clinical,no,unknown,high,,,,,,,,,,,,,,
wellfromscratch,7564373901628589078,31000,FALSE,"healing and stuff
🌀
a soft chaos between taste, travel & tranquility 
💌 contact.wellfrommscratch@gmail.com",patient,unknown,Unknown,no,7571164978162584854,https://www.tiktok.com/@wellfromscratch/video/7571164978162584854,2025-11-10T18:27:01.000Z,9,"skinhealingjourney, inflammation, glowup, skincare, acnefighter","…this is what healing inflammation looks like. exactly one year apart. looking at this footage gives me goosebumps and i want to hug the old me.
i used to think my skin was the problem. turns out, it was the signal.
the breakouts, the shame, the endless searching - all of it taught me how to slow down, listen, and rebuild.
healing inflammation isn’t linear, but it’s real.
if you’re in it, stay kind to yourself.
your body wants to heal, you just have to learn how to listen.
sharing everything that helped me - step by step, from gut to glow. feel free to follow along <3 #skinhealingjourney  #inflammation #glowup #skincare #acnefighter ",English,342100,2600000,3616,534,13.16,yes,no,personal_anecdote,unknown,misinformation,gut_health,unsupported,Unknown,no,no,high,,,,,,,,,,,,,,
dermdoctor,6765585846651094022,17700000,TRUE,"Board Certified Derm 
Founder of @Remedy Science
Shop Biodance ⬇️",dermatologist,unknown,Unknown,no,6986302041937153286,https://www.tiktok.com/@dermdoctor/video/6986302041937153286,2021-07-18T16:20:05.000Z,20,"dermdoctor, dermatologist, skincare, skincareroutine, acne, learnontiktok, tiktokpartner",Effective Acne Routine #dermdoctor #dermatologist #skincare #skincareroutine #acne #learnontiktok #tiktokpartner,English,1200000,17900000,100500,5413,6.7,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
dermangelo,6774391761365582854,579800,TRUE,"Angelo Landriscina MD FAAD
Derm Daddy👨🏻
None of this content is medical advice",dermatologist,unknown,Unknown,no,7615236798981082399,https://www.tiktok.com/@dermangelo/video/7615236798981082399,2026-03-09T12:48:19.000Z,179,"acne, skincare, dermatologist, dermangelo",Acne treatment tips. #acne #skincare #dermatologist #dermangelo,English,549,15700,12,28,3.5,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
