creator_username,creator_id,creator_followers,subject_of_experience,intent_clarity,views,likes,comments,shares,engagement_rate,claim_type,claim_accuracy,evidence_present,label_confidence,Language,video_shot_complexity,face_visibility,indoor_outdoor,creator_gender,creator_race_visual,before_after_claim,No._people_video,condition_duration,condition_recurrence,active_ingredient,product_name,product_brand,country_origin,video_duration_seconds,creator_age_range,creator_type,creator_motivation,video_format,Video_type,skin_condition_type,skin_severity,treatment_type,outcome_type,side_effects,time_to_result_claim,unrealistic_claim_flag,sponsored_content,affiliate_link_present,hashtags,condition_extent,misinfo_label
dermguru,dermguru,14.346139397261565,general_advice,1,11.402005077384885,7.638679823876112,3.295836866004329,4.634728988229636,2.32,diy_topicals,partial,anecdotal,1,en,3,yes,indoor,female,hispanic,1,1,unknown,yes,"niacinamide, hypochlorous acid","Dakin solution, niacinamide solution",Sofie Pavitt Face,United States,4.330733340286331,young_adult,influencer,education,talking_head,0.0,mixed,2,topical,promised_only,none_mentioned,none,0,unclear,no,"#acne, #congestedskin, #acnetok",face_only,not_sure
philsmypharmacist,philsmypharmacist,14.557448378884015,general_advice,1,13.636385088238372,10.827766295132466,6.255750041753367,9.1557785839835,6.03,diy_topicals,unsupported,anecdotal,2,en,3,yes,indoor,male,white,0,2,years,yes,"salicylic acid, adapalene","CeraVe Foaming Cleanser, melatonin, Differin gel, Clear Genius Body Acne Spray","CeraVe, Differin, Bliss",United States,4.477336814478207,middle_aged,influencer,promotion,talking_head,0.0,hormonal_acne,0,mixed,promised_only,none_mentioned,none,1,unclear,no,"#teenacne, #philsmypharmacist, #otchacks, #skincarehacks, #acne, #skincare, #beauty, #edutok, #education, #learning, #learningisfun, #savemoney, #acnetips",face_only,no
shannon.bruno,shannon.bruno,11.187209175200515,patient,2,14.151983508870947,12.085604132204319,5.793013608384144,9.83633227734872,12.66,clinically_accurate,supported,anecdotal,2,en,2,yes,indoor,female,asian,0,1,unknown,unknown,sulfur,black tea,none,United States,3.7612001156935624,young_adult,patient,personal_sharing,talking_head,0.0,cystic_acne,3,mixed,promised_only,pain,instant,0,no,no,"#acne, #acnetips, #acnetreatment, #hydrocolloid, #diy, #diyskincare, #beautyhacks, #beautytips, #skincare, #fyp",face_only,no
mattrandon,mattrandon,14.077875591662238,self,2,11.231901180182515,8.28349412616251,2.8903717578961645,4.718498871295094,5.24,clinically_accurate,partial,anecdotal,1,en,3,yes,indoor,female,black,0,2,days,yes,"tretinoin, benzoyl peroxide, tea tree oil","pimple patches, vanicream gentle facial cleanser",vanicream,United States,3.4657359027997265,young_adult,influencer,personal_sharing,duet_stitch,0.0,acne,1,topical,promised_only,none_mentioned,days,0,no,no,"#pimplepatch, #acneproneskin, #acnetips, #acneprone, #skincarehacks",face_only,no
dr.zionko,dr.zionko,13.635068433929607,patient,2,15.068273812173887,10.896757843893464,5.783825182329737,6.983789965258135,1.54,clinically_accurate,partial,yes,1,en,2,yes,indoor,female,asian,0,1,months,yes,"benzoyl peroxide, retinoid, sulfur","Benzoproxide cleanser, Alloparlene gel",none,United States,3.7612001156935624,young_adult,other,education,talking_head,0.0,cystic_acne,2,mixed,promised_only,none_mentioned,none,0,no,no,"#cyst, #acne, #skincaretips, #beautyhacks, #sulfur, #hyperpigmentation, #hormonalacne, #pcos",face_only,no
drcharlesmd1,drcharlesmd1,14.403297778421795,patient,2,12.532498153794986,8.665785595466064,4.844187086458591,6.705639094860003,2.09,clinically_accurate,supported,yes,2,en,2,yes,indoor,male,white,0,1,unknown,unknown,"topical antibiotics, oral antibiotics, steroid","topical antibiotics, oral antibiotics, steroid shot",none,United States,3.258096538021482,young_adult,dermatologist,education,talking_head,0.0,cystic_acne,2,professional_procedure,unclear,none_mentioned,none,0,unclear,no,,face_and_body,no
drspf,drspf,14.077875591662238,general_advice,2,12.753618744072144,7.95892649305011,4.127134385045092,3.8501476017100584,0.83,diy_topicals,partial,anecdotal,1,en,2,yes,indoor,male,asian,0,1,days,unknown,salicylic acid,"intralesional kenalog, warm compress, microdots, hydrocolloid patch, centella",none,unknown,4.23410650459726,adult,dermatologist,education,talking_head,0.0,cystic_acne,3,professional_procedure,promised_only,none_mentioned,days,0,unclear,no,"#intralesionalkenalog, #steroidshot, #cysticacne, #drsugaiskincare, #acne",face_only,no
philsmypharmacist,philsmypharmacist,14.557448378884015,general_advice,1,10.949068194652432,6.946975992135418,2.995732273553991,4.663439094112067,1.83,general_advice,partial,no,1,en,3,yes,indoor,male,white,0,2,unknown,unknown,"niacinamide, hypochlorous acid",Niacinamide and Hypochlorous Acid solution,none,United States,4.499809670330265,middle_aged,other,education,talking_head,0.0,cystic_acne,3,mixed,promised_only,none_mentioned,none,0,yes,no,"#painfulacne, #acne, #pharmacist, #pharmacyhelp, #otchacks, #skincare, #acneprobs, #philsmypharmacist, #pmdpartner",face_only,no
dermdoctor,dermdoctor,16.68907525404123,self,1,15.201805169084134,12.066241450757124,6.8658910748834385,7.3727463664043285,4.35,product_promotion,anecdotal,anecdotal,2,en,3,yes,indoor,male,white,0,1,years,yes,none,"brave beauty oilala, booklor spray",brave beauty,United States,2.772588722239781,adult,dermatologist,education,talking_head,0.0,cystic_acne,3,topical,improved,none_mentioned,months,0,unclear,no,"#acne, #pimples, #acnetreatment, #dermdoctor, #skincare, #learnontiktok, #tiktokpartner",face_only,no
dermdoctor,dermdoctor,16.68907525404123,self,1,15.29711532616119,12.555676145640925,6.706862336602747,9.367429587218957,6.45,anti_isotretinoin,partial,anecdotal,1,en,3,yes,indoor,male,white,0,1,years,no,isotretinoin,accutane,bliss,United States,3.2188758248682006,young_adult,patient,personal_sharing,talking_head,0.0,cystic_acne,3,topical,improved,other,none,0,yes,no,"#dermdoctor, #dermatologist, #blisspartner, #skincare, #bacne, #skincarehacks, #backacne, #PepsiApplePieChallenge",body_only,no
skinbydrazi,skinbydrazi,14.45736497045232,self,1,14.77102238760702,10.981914140544825,5.7899601708972535,7.776954403322442,2.26,product_promotion,partial,anecdotal,1,en,3,yes,indoor,female,unknown,0,1,years,no,benzoyl peroxide,panoxyl face wash,panoxyl,United States,2.772588722239781,young_adult,patient,personal_sharing,before_after,0.0,cystic_acne,3,mixed,improved,none_mentioned,months,0,no,no,"#acneremedy, #acne, #beautyhackes",face_only,no
dr.zionko,dr.zionko,13.635068433929607,patient,2,14.346139397261565,9.928228944424575,5.25227342804663,6.831953565565855,1.21,general_advice,na,anecdotal,1,en,2,yes,indoor,female,asian,0,1,days,yes,none,none,none,United States,4.2626798770413155,young_adult,patient,personal_sharing,talking_head,0.0,cystic_acne,2,unclear,improved,none_mentioned,none,0,no,no,"#cysticacne, #hormonalacne, #skintok, #pimpletok, #skinadvice, #dermatologytips, #acneproneskin",face_only,yes
drvanitarattan,drvanitarattan,14.220976332738882,patient,2,16.98938905874274,14.077875591662238,8.144098463338524,10.114599007626499,5.44,product_promotion,partial,no,1,en,3,yes,indoor,female,white,1,2,unknown,unknown,"salicylic acid, niacinamide","Trio Blemish 4-piece system, Face wash, Exfoliator, AM gel",none,Brazil,4.477336814478207,young_adult,influencer,promotion,duet_stitch,0.0,cystic_acne,3,topical,promised_only,none_mentioned,none,0,yes,no,"#skincare, #skinofcolour, #acne, #acnescartreatment, #doctor",face_only,yes
dr_ingky,dr_ingky,13.73038939339702,general_advice,2,12.552145080994137,8.62317351495347,4.174387269895637,5.831882477283517,1.97,clinically_accurate,supported,no,1,en,2,yes,indoor,male,asian,0,1,weeks,unknown,"benzoyl peroxide, adapalene","benzoyl peroxide cleanser, adapalene",none,United States,4.0943445622221,adult,other,education,talking_head,0.0,cystic_acne,3,mixed,promised_only,none_mentioned,none,0,no,no,,face_only,yes
drjennyliu,drjennyliu,13.01098702505448,general_advice,2,12.96968061965209,7.908387159290043,2.995732273553991,3.8918202981106265,0.63,clinically_accurate,supported,yes,2,ro,3,yes,indoor,female,asian,1,1,unknown,unknown,"salicylic acid, adapalene, benzoyl peroxide","salicylic acid cleanser, adapalene gel, moisturizer, benzoyl peroxide, SPF",Eucerin,United States,3.9512437185814275,adult,dermatologist,education,talking_head,0.0,cystic_acne,2,topical,promised_only,none_mentioned,none,0,no,no,"#cyst, #acne, #acnetreatment, #dermatologist, #acnetok",face_and_body,no
thesecondthoughtofficial,thesecondthoughtofficial,9.898525260706313,general_advice,1,14.508658238524095,10.823790225800138,4.174387269895637,7.6708948313621175,2.51,clinically_accurate,partial,anecdotal,1,en,3,no,unknown,unknown,unknown,0,2,weeks,yes,"adapalene, niacinamide",Differin Gel,Differin,United States,3.5263605246161616,not_identified,other,education,demo,,cystic_acne,3,topical,promised_only,none_mentioned,none,0,no,no,"#cysticacne, #blindpimple, #acnetreatment, #pimplepatch, #salicylicacid",face_only,no
drabby6,drabby6,13.199141068399515,general_advice,2,12.390895238790055,6.795705775173514,3.4011973816621555,3.367295829986474,0.37,clinically_accurate,supported,yes,2,en,2,yes,indoor,female,white,0,1,months,yes,adapalene,adapalene,La Roche-Posay,unknown,3.4011973816621555,adult,dermatologist,education,duet_stitch,0.0,cystic_acne,2,topical,promised_only,none_mentioned,months,0,no,no,"#stitch, #cysticacne, #acne, #dermatologist",face_only,no
neecoleslife,neecoleslife,9.392745258631441,self,2,13.080084071521512,10.360944044643913,4.836281906951478,7.080026499922591,6.59,clinically_accurate,partial,anecdotal,1,en,2,yes,indoor,female,mixed,0,1,years,yes,"salicylic acid, benzoyl peroxide, adapalene",Effaclar line,"Krave Beauty, Magic Molecule, La Roche-Posay",United States,3.871201010907891,young_adult,patient,personal_sharing,talking_head,0.0,cystic_acne,2,topical,promised_only,none_mentioned,none,0,no,no,"#cysticacne, #adultacne",face_only,no
glowjournalmamata,glowjournalmamata,12.184343263233146,patient,2,11.804855999911272,8.208764045819667,3.5263605246161616,5.3706380281276624,2.74,clinically_accurate,supported,yes,2,en,2,yes,indoor,female,hispanic,1,1,months,yes,"isotretinoin, estrogen, progestin, spironolactone","accutane, combination oral contraceptives, yaz, spironolactone",yaz,Australia,4.465908118654584,young_adult,patient,personal_sharing,talking_head,0.0,hormonal_acne,2,oral,worsened,none_mentioned,none,0,no,no,"#acneproneskin, #acnejourney, #australiaskincare, #acnefighter, #acneskin",face_only,no
alexisdimaya,alexisdimaya,13.25602151199675,self,2,15.009433329466965,12.280256686219182,6.52795791762255,8.763740720509464,6.53,product_promotion,unsupported,anecdotal,1,en,2,yes,indoor,female,asian,1,1,unknown,unknown,none,TULA SK Treatment,TULA,unknown,5.10594547390058,young_adult,influencer,promotion,talking_head,0.0,mixed,1,topical,promised_only,none_mentioned,none,1,unclear,no,"#greenscreen, #acnetreatment, #acnejourney, #clearskin, #makeup, #skincare",face_only,yes
haleykonopka_,haleykonopka_,11.48247656671073,self,2,10.288783966353765,8.331827004436057,4.060443010546419,3.7612001156935624,14.13,product_promotion,partial,anecdotal,2,en,2,yes,indoor,female,white,0,1,years,yes,"salicylic acid, niacinamide",body wash,none,United States,2.833213344056216,young_adult,influencer,promotion,talking_head,0.0,acne,1,topical,promised_only,none_mentioned,none,1,no,no,"#acnejourney, #hormonalacne, #realskintexture, #acneproneskin",face_only,no
elizacesle,elizacesle,6.6039438246004725,self,1,11.898194668458823,9.575052927597383,3.367295829986474,4.890349128221754,9.8,general_advice,na,anecdotal,0,en,3,partial,indoor,female,white,1,1,years,yes,none,none,none,Brazil,2.302585092994046,young_adult,patient,personal_sharing,before_after,0.0,mixed,2,unclear,improved,none_mentioned,months,0,no,no,"#acnejourney, #comedonalacne, #acnebeforeandafters",face_and_body,yes
lifewithmils,lifewithmils,12.799954585333216,self,1,13.910821646859095,11.747214672056005,5.583496308781699,7.145196134997171,11.49,general_advice,partial,anecdotal,1,en,3,yes,both,female,white,1,1,unknown,yes,none,none,none,United States,2.70805020110221,young_adult,patient,advocacy,before_after,0.0,acne,2,unclear,improved,none_mentioned,none,0,unclear,no,"#acne, #acnejourney, #mentalhealth, #acneproneskin, #skintok",face_only,yes
noracummins_,noracummins_,12.722485630879172,self,0,15.201805169084134,11.119897691565697,6.643789733147672,7.6708948313621175,1.69,none,na,no,0,en,2,yes,indoor,female,white,0,1,unknown,unknown,none,none,none,Czech Republic,6.1224928095143865,young_adult,patient,personal_sharing,talking_head,0.0,mixed,2,unclear,unclear,unclear,none,0,no,no,"#acnejourney, #cysticacne, #guthealthmatters, #holistichealth, #healingjourneys",face_only,yes
lukekoumakis,lukekoumakis,10.428245666832275,self,2,15.009433329466965,11.544433821905134,6.678342114654332,8.003697339094368,3.13,general_advice,partial,anecdotal,1,en,2,yes,indoor,male,white,1,1,months,unknown,isotretinoin,accutane,Roche,United States,3.367295829986474,young_adult,patient,personal_sharing,before_after,0.0,acne,2,unclear,improved,none_mentioned,months,0,no,no,"#fyp, #fyp, #acne, #transformation, #transformationvideo, #glowup, #accutanejourney",face_only,yes
stylishyessy__,stylishyessy__,10.305647203635566,self,2,14.220976332738882,11.231901180182515,7.201170883281678,7.614805364711073,5.03,none,na,no,2,en,2,yes,indoor,female,hispanic,0,1,unknown,unknown,isotretinoin,none,none,unknown,4.844187086458591,young_adult,patient,advocacy,talking_head,0.0,acne,2,none,no_change,none_mentioned,none,0,no,no,"#acneproneskin, #acne, #accutanejourney, #realitycheck, #accutane, #acnejourney, #yourenotalone, #fyp",face_only,yes
wellfromscratch,wellfromscratch,10.344995251991222,general_advice,2,14.77102238760702,12.744905382854366,6.2766434893416445,8.19891444498699,13.18,clinically_accurate,partial,no,1,en,3,yes,both,female,white,1,1,years,yes,"benzoyl peroxide, niacinamide, adapalene","Acne Foaming Cream Cleanser, Elta MD UV Clear, La Roche-Posay Tolerian Cleanser, Differin Gel, Neutrogena Hydro Boost","CeraVe, Elta MD, La Roche-Posay, Differin, Neutrogena",United States,2.302585092994046,young_adult,patient,personal_sharing,before_after,0.0,acne,2,unclear,improved,none_mentioned,months,0,no,no,"#skinhealingjourney, #inflammation, #glowup, #skincare, #acnefighter",face_only,no
dermdoctor,dermdoctor,16.68907525404123,general_advice,2,16.700311326676903,13.997832948091215,8.51579221050061,11.51792295668052,6.7,clinically_accurate,partial,no,1,en,3,yes,indoor,male,white,0,1,unknown,yes,"benzoyl peroxide, bha, sulfur","benzoyl peroxide wash, bha exfoliant, pimple patch, gel cream moisturizer","Cetaphil, Eucerin",United States,3.044522437723423,adult,dermatologist,education,talking_head,0.0,mixed,0,mixed,promised_only,none_mentioned,none,1,unclear,no,"#dermdoctor, #dermatologist, #skincare, #skincareroutine, #acne, #learnontiktok, #tiktokpartner",face_only,no
dermangelo,dermangelo,13.272335625445832,general_advice,2,9.70509758756311,6.343880434126331,3.367295829986474,2.5649493574615367,3.46,clinically_accurate,supported,yes,2,ro,2,yes,indoor,male,white,0,1,unknown,yes,niacinamide,benzoyl peroxide,none,Romania,5.19295685089021,young_adult,dermatologist,education,talking_head,0.0,acne,0,topical,promised_only,irritation,none,0,no,no,"#acne, #skincare, #dermatologist, #dermangelo",face_only,no
dermdoctor,dermdoctor,16.68907525404123,general_advice,2,15.803385043104912,11.250274159310356,6.192362489474872,8.41803561988302,1.05,general_advice,partial,anecdotal,1,en,3,yes,indoor,male,middle_eastern,0,1,years,yes,adapalene,"differin, pimple patches, green tea",differin,United States,3.332204510175204,young_adult,influencer,promotion,demo,0.0,acne,0,mixed,promised_only,none_mentioned,none,0,yes,no,"#differinpartner, #differin, #adapalene, #retinoid, #acne",face_only,no
dermdoctor,dermdoctor,16.68907525404123,self,2,16.066802461833923,12.697412651747085,7.583756300707112,9.820160289946374,3.44,product_promotion,partial,anecdotal,1,en,3,yes,indoor,male,white,1,2,years,yes,"azelaic acid, adapalene, retinol, tea tree oil","Anua Azelaic Acid Hyaluron Serum, Skin 1004 Tea Tree Cut Ampoule, Hyunix Beta Glucane Serum","Anua, Skin 1004, Hyunix, La Roche Posay",United States,3.091042453358316,adult,dermatologist,promotion,talking_head,0.0,acne,2,topical,promised_only,none_mentioned,months,0,yes,no,"#dermdoctor, #skincare, #acne, #adapalene, #retinol, #larocheposay",face_only,no
dermdoctor,dermdoctor,16.68907525404123,patient,2,15.931766193248746,12.776772491986527,7.606387389772652,10.348205424565993,4.26,clinically_accurate,supported,anecdotal,2,en,2,yes,indoor,male,mixed,0,1,months,no,adapalene,Effaclar Duo,La Roche Posay,United States,3.4339872044851463,adult,dermatologist,education,talking_head,0.0,acne_scars,0,professional_procedure,promised_only,none_mentioned,none,0,yes,no,"#AcneAwarenessMonth, #LRPPartner, #DermDoctor, #Acne, #Dermatologist, #Adapalene, #LaRochePosay",face_only,no
dermarkologist,dermarkologist,13.997832948091215,general_advice,1,14.077875591662238,10.534785924769006,6.163314804034641,7.581719640125308,2.89,product_promotion,partial,anecdotal,1,en,3,yes,indoor,male,white,0,1,unknown,yes,azelaic acid,"azelaic acid product from anua, spironolactone, winlevi",anua,United States,4.110873864173311,adult,dermatologist,education,talking_head,0.0,hormonal_acne,2,mixed,promised_only,none_mentioned,none,0,unclear,no,"#hormonalacne, #spironolactone, #winlevi, #dermatologist, #dermarkologist",face_only,not_sure
some.cool.audios,some.cool.audios,10.39516093745751,patient,2,10.077482875583607,5.043425116919247,1.6094379124341003,1.0986122886681098,0.65,clinically_accurate,partial,anecdotal,1,en,2,no,unknown,unknown,unknown,0,0,days,unknown,none,"TCA Cross, Halo, fractional CO2, PRP with stem cells, Emerskin Tense Hydration Mask, Glacial",Emerskin,United States,3.258096538021482,adult,dermatologist,education,demo,0.0,acne_scars,2,professional_procedure,promised_only,pain,none,0,no,no,"#swingoutsisters, #foryou, #foryoupage, #breakout, #trend, #followme, #HolidayModeActivated, #spotify",unknown,no
_n3a4k0,_n3a4k0,7.4798641311650265,general_advice,1,8.313607139317558,4.919980925828125,0.6931471805599453,2.70805020110221,3.33,product_promotion,partial,anecdotal,1,en,3,partial,indoor,female,asian,0,2,unknown,unknown,azelaic acid,Inua Azelaic Acid Serum,Inua,United States,3.8501476017100584,young_adult,influencer,education,talking_head,0.0,acne,0,topical,promised_only,none_mentioned,none,0,no,no,"#breakoutmovie, #niamarco, #breakdance, #shepherd, #worldcup, #fyp",unknown,not_sure
cour10y_2.0,cour10y_2.0,9.134646527606982,self,1,14.346139397261565,9.38437770918244,3.4657359027997265,6.78897174299217,0.7,product_promotion,partial,anecdotal,1,en,2,yes,indoor,female,white,1,1,unknown,unknown,none,Breakout Banisher,Peach Slices,India,3.7612001156935624,young_adult,patient,personal_sharing,demo,0.0,acne,2,topical,improved,none_mentioned,none,0,yes,no,"#peachslices, #breakoutbanisher, #acne, #bodyacne, #bodywash",face_and_body,yes
ur6moms9fav,ur6moms9fav,11.87757552297847,self,2,12.15425816271595,8.754791763700032,4.276666119016055,6.692083742506628,3.34,diy_topicals,partial,anecdotal,1,en,2,yes,indoor,female,asian,0,1,years,yes,retinol,"cleanser, moisturizer",none,United States,2.1972245773362196,young_adult,patient,personal_sharing,talking_head,0.0,acne,1,mixed,promised_only,none_mentioned,none,0,no,no,"#fyp, #relatable",face_only,no
n3rdenthusiast,n3rdenthusiast,5.170483995038151,general_advice,2,10.652566005416872,8.99949587624899,3.58351893845611,6.045005314036012,19.14,product_promotion,partial,no,1,en,4,partial,indoor,male,black,0,4,years,yes,panthenol,none,none,United States,4.060443010546419,not_identified,other,education,other,,acne_scars,0,topical,promised_only,none_mentioned,none,1,no,no,"#targetaudience, #chadhugo, #NERD, #pharrell, #music",unknown,no
stinkyschu,stinkyschu,9.539716058977092,self,1,13.997832948091215,12.302750072044772,5.942799375126701,7.918992488165245,18.36,general_advice,partial,anecdotal,1,en,2,yes,indoor,female,white,0,1,unknown,unknown,none,none,none,unknown,2.3978952727983707,young_adult,patient,personal_sharing,talking_head,0.0,acne,2,professional_procedure,promised_only,none_mentioned,weeks,0,no,no,"#breakout, #acne, #blonde",face_only,yes
weybend_,weybend_,7.350516171833998,self,0,10.344995251991222,7.80994708647679,3.8918202981106265,3.4339872044851463,7.92,none,na,no,0,en,3,partial,indoor,male,white,0,2,unknown,unknown,none,none,none,unknown,4.406719247264253,teen,other,other,other,0.0,acne,0,none,no_change,none_mentioned,none,0,no,no,"#fy, #fyp, #sad, #breakout, #cz, #pain",unknown,yes
limitless_customs,limitless_customs,11.055656405795794,unknown,0,14.220976332738882,11.275949181024878,5.840641657373398,8.913146539151807,5.26,none,na,no,2,en,3,no,outdoor,male,unknown,0,1,unknown,yes,none,Stage2 FATBOY,Harley Davidson,United States,2.4849066497880004,not_identified,other,promotion,demo,0.0,hormonal_acne,0,none,no_change,none_mentioned,none,0,unclear,no,"#harleydavidson, #harley, #motorcycles, #harleydaivdson, #fatboy, #breakout",unknown,yes
biggieonvr,biggieonvr,9.642187721358466,unknown,0,11.038126355768453,7.711548979629146,4.955827057601261,6.729824070489475,3.59,none,na,no,0,en,2,no,indoor,unknown,unknown,0,0,unknown,unknown,none,none,none,unknown,3.9318256327243257,not_identified,other,other,other,,unclear,0,none,no_change,none_mentioned,none,0,no,no,"#breakoutvr, #vr, #fyp, #viral, #blowthisup",unknown,yes
riesca.v,riesca.v,6.340359303727752,general_advice,1,13.997832948091215,10.413342705547674,5.673323267171493,7.368970402194793,2.78,general_advice,partial,no,1,en,2,yes,indoor,female,asian,0,1,unknown,unknown,none,none,none,unknown,1.9459101490553132,young_adult,influencer,education,other,0.0,mixed,1,none,no_change,none_mentioned,none,0,no,no,"#skintok, #acne, #skinhealth, #skinproblems, #skincaretips",face_only,yes
drdustinportela,drdustinportela,14.731801689838349,general_advice,0,12.110667961260443,8.074337694089515,3.8918202981106265,6.369900982828227,1.77,general_advice,na,no,0,en,3,yes,indoor,male,white,0,1,unknown,unknown,none,"Acne Foaming Cream Cleanser, Prebiotic Thermal Water, Hyaluronic Hydration Booster","CeraVe, La Roche-Posay",unknown,3.970291913552122,adult,influencer,promotion,talking_head,0.0,acne,1,topical,promised_only,none_mentioned,none,0,unclear,no,"#creatorsearchinsights, #acne, #acnetreatment",face_only,yes
